x1	x2	x3	xm	F[x1,x2]	F[x1,x2,x3]
-0.5	-0.49	-0.48	0.00296676	-0.18129	0.18203
0.00296676	-0.49	-0.48	-0.163141	-0.0443629	0.275974
0.00296676	-0.163141	-0.48	-0.17238	0.0580567	0.314525
0.00296676	-0.163141	-0.17238	-0.167323	0.0580567	0.332758
-0.167323	-0.163141	-0.17238	-0.167321	0.00138338	0.331169
-0.167323	-0.167321	-0.17238	-0.16732	-1.3624e-06	0.331037
-0.167323	-0.167321	-0.16732	-0.16732	-1.3624e-06	0.331103
-0.16732	-0.167321	-0.16732	-0.16732	-3.33409e-07	0.330968
-0.16732	-0.16732	-0.16732	-nan	0	0
-nan	-0.16732	-0.16732	-nan	-nan	-nan
