n	Approx Integral	Exact Integral	Error
2	1038570.0	3628800.0	2590230.0
3	1008180.0	3628800.0	2620620.0
4	5467680.0	3628800.0	1838880.0
5	3614400.0	3628800.0	14400.0
6	3867670.0	3628800.0	238870.0
7	3628800.0	3628800.0	0.0
8	3634160.0	3628800.0	5360.0
9	3628800.0	3628800.0	0.0
10	3628850.0	3628800.0	50.0
11	3628800.0	3628800.0	0.0
12	3628800.0	3628800.0	0.0
13	3628800.0	3628800.0	0.0
14	3628800.0	3628800.0	0.0
15	3628800.0	3628800.0	0.0
16	3628800.0	3628800.0	0.0
17	3628800.0	3628800.0	0.0
18	3628800.0	3628800.0	0.0
19	3628800.0	3628800.0	0.0
20	3628800.0	3628800.0	0.0
